Algorithm,Seed,NodeID,CHSelections
DEEC,2,52,22
DEEC,2,53,39
DEEC,2,54,22
DEEC,2,55,34
DEEC,2,56,30
DEEC,2,57,18
DEEC,2,58,27
DEEC,2,59,31
DEEC,2,60,22
DEEC,2,61,29
DEEC,2,62,34
DEEC,2,63,43
DEEC,2,64,22
DEEC,2,65,39
DEEC,2,66,37
DEEC,2,67,21
DEEC,2,68,31
DEEC,2,69,28
DEEC,2,70,44
DEEC,2,71,19
DEEC,2,72,26
DEEC,2,73,33
DEEC,2,74,33
DEEC,2,75,23
DEEC,2,76,31
DEEC,2,77,23
DEEC,2,78,29
DEEC,2,79,26
DEEC,2,80,26
DEEC,2,81,27
DEEC,2,82,24
DEEC,2,83,21
DEEC,2,84,22
DEEC,2,85,23
DEEC,2,86,32
DEEC,2,87,28
DEEC,2,88,37
DEEC,2,89,34
DEEC,2,90,27
DEEC,2,91,26
DEEC,2,92,44
DEEC,2,93,36
DEEC,2,94,51
DEEC,2,95,21
DEEC,2,96,25
DEEC,2,97,30
DEEC,2,98,23
DEEC,2,99,20
DEEC,3,0,25
DEEC,3,1,33
DEEC,3,2,24
DEEC,3,3,18
DEEC,3,4,26
DEEC,3,5,17
DEEC,3,6,29
DEEC,3,7,28
DEEC,3,8,39
DEEC,3,9,22
DEEC,3,10,41
DEEC,3,11,27
DEEC,3,12,31
DEEC,3,13,25
DEEC,3,14,25
DEEC,3,15,32
DEEC,3,16,25
DEEC,3,17,28
DEEC,3,18,27
DEEC,3,19,33
DEEC,3,20,28
DEEC,3,21,19
DEEC,3,22,26
DEEC,3,23,37
DEEC,3,24,26
DEEC,3,25,18
DEEC,3,26,18
DEEC,3,27,21
DEEC,3,28,31
DEEC,3,29,40
DEEC,3,30,26
DEEC,3,31,36
DEEC,3,32,22
DEEC,3,33,20
DEEC,3,34,43
DEEC,3,35,23
DEEC,3,36,45
DEEC,3,37,19
DEEC,3,38,40
DEEC,3,39,27
DEEC,3,40,36
DEEC,3,41,24
DEEC,3,42,28
DEEC,3,43,17
DEEC,3,44,31
DEEC,3,45,41
DEEC,3,46,19
DEEC,3,47,31
DEEC,3,48,40
DEEC,3,49,26
DEEC,3,50,24
DEEC,3,51,33
DEEC,3,52,30
DEEC,3,53,36
DEEC,3,54,31
DEEC,3,55,37
DEEC,3,56,31
DEEC,3,57,25
DEEC,3,58,22
DEEC,3,59,26
DEEC,3,60,39
DEEC,3,61,33
DEEC,3,62,16
DEEC,3,63,24
DEEC,3,64,27
DEEC,3,65,30
DEEC,3,66,28
DEEC,3,67,29
DEEC,3,68,23
DEEC,3,69,23
DEEC,3,70,22
