Algorithm,Seed,NodeID,DeathRound
LEACH,2,52,528
LEACH,2,53,800
LEACH,2,54,493
LEACH,2,55,563
LEACH,2,56,591
LEACH,2,57,359
LEACH,2,58,703
LEACH,2,59,721
LEACH,2,60,688
LEACH,2,61,534
LEACH,2,62,729
LEACH,2,63,779
LEACH,2,64,484
LEACH,2,65,788
LEACH,2,66,740
LEACH,2,67,472
LEACH,2,68,548
LEACH,2,69,844
LEACH,2,70,837
LEACH,2,71,405
LEACH,2,72,515
LEACH,2,73,770
LEACH,2,74,680
LEACH,2,75,493
LEACH,2,76,753
LEACH,2,77,502
LEACH,2,78,619
LEACH,2,79,507
LEACH,2,80,388
LEACH,2,81,454
LEACH,2,82,420
LEACH,2,83,381
LEACH,2,84,347
LEACH,2,85,425
LEACH,2,86,506
LEACH,2,87,772
LEACH,2,88,770
LEACH,2,89,686
LEACH,2,90,632
LEACH,2,91,718
LEACH,2,92,831
LEACH,2,93,625
LEACH,2,94,695
LEACH,2,95,368
LEACH,2,96,445
LEACH,2,97,618
LEACH,2,98,485
LEACH,2,99,350
LEACH,3,0,671
LEACH,3,1,754
LEACH,3,2,425
LEACH,3,3,325
LEACH,3,4,479
LEACH,3,5,325
LEACH,3,6,632
LEACH,3,7,599
LEACH,3,8,766
LEACH,3,9,500
LEACH,3,10,643
LEACH,3,11,517
LEACH,3,12,661
LEACH,3,13,492
LEACH,3,14,506
LEACH,3,15,732
LEACH,3,16,587
LEACH,3,17,570
LEACH,3,18,585
LEACH,3,19,682
LEACH,3,20,762
LEACH,3,21,536
LEACH,3,22,456
LEACH,3,23,803
LEACH,3,24,549
LEACH,3,25,325
LEACH,3,26,301
LEACH,3,27,442
LEACH,3,28,647
LEACH,3,29,911
LEACH,3,30,642
LEACH,3,31,662
LEACH,3,32,520
LEACH,3,33,401
LEACH,3,34,905
LEACH,3,35,360
LEACH,3,36,741
LEACH,3,37,404
LEACH,3,38,761
LEACH,3,39,487
LEACH,3,40,806
LEACH,3,41,505
LEACH,3,42,503
LEACH,3,43,330
LEACH,3,44,695
LEACH,3,45,813
LEACH,3,46,362
LEACH,3,47,766
LEACH,3,48,851
LEACH,3,49,631
LEACH,3,50,625
LEACH,3,51,842
LEACH,3,52,514
LEACH,3,53,778
LEACH,3,54,622
LEACH,3,55,748
LEACH,3,56,796
LEACH,3,57,430
LEACH,3,58,354
LEACH,3,59,782
LEACH,3,60,759
LEACH,3,61,767
LEACH,3,62,306
LEACH,3,63,559
LEACH,3,64,581
LEACH,3,65,580
LEACH,3,66,553
LEACH,3,67,627
LEACH,3,68,532
LEACH,3,69,731
LEACH,3,70,440
LEACH,3,71,355
LEACH,3,72,640
LEACH,3,73,496
LEACH,3,74,645
LEACH,3,75,576
LEACH,3,76,623
LEACH,3,77,456
LEACH,3,78,522
LEACH,3,79,346
LEACH,3,80,683
LEACH,3,81,326
LEACH,3,82,349
LEACH,3,83,757
LEACH,3,84,677
LEACH,3,85,408
LEACH,3,86,789
LEACH,3,87,697
LEACH,3,88,360
LEACH,3,89,754
LEACH,3,90,921
LEACH,3,91,718
LEACH,3,92,632
LEACH,3,93,466
LEACH,3,94,700
LEACH,3,95,786
LEACH,3,96,605
LEACH,3,97,422
LEACH,3,98,324
LEACH,3,99,661
LEACH,4,0,660
LEACH,4,1,749
LEACH,4,2,287
LEACH,4,3,831
LEACH,4,4,811
LEACH,4,5,330
LEACH,4,6,757
LEACH,4,7,797
LEACH,4,8,351
LEACH,4,9,726
LEACH,4,10,906
LEACH,4,11,386
LEACH,4,12,593
LEACH,4,13,507
LEACH,4,14,414
LEACH,4,15,654
LEACH,4,16,691
LEACH,4,17,714
LEACH,4,18,426
LEACH,4,19,803
LEACH,4,20,559
LEACH,4,21,854
LEACH,4,22,359
LEACH,4,23,641
LEACH,4,24,702
LEACH,4,25,431
LEACH,4,26,701
LEACH,4,27,736
LEACH,4,28,876
LEACH,4,29,535
LEACH,4,30,393
LEACH,4,31,520
LEACH,4,32,538
LEACH,4,33,483
LEACH,4,34,888
LEACH,4,35,402
LEACH,4,36,862
LEACH,4,37,671
LEACH,4,38,730
LEACH,4,39,414
LEACH,4,40,804
LEACH,4,41,831
LEACH,4,42,640
LEACH,4,43,636
LEACH,4,44,551
LEACH,4,45,328
LEACH,4,46,504
LEACH,4,47,590
LEACH,4,48,597
LEACH,4,49,771
LEACH,4,50,363
LEACH,4,51,384
LEACH,4,52,848
LEACH,4,53,529
LEACH,4,54,515
LEACH,4,55,757
LEACH,4,56,359
LEACH,4,57,744
LEACH,4,58,362
LEACH,4,59,471
LEACH,4,60,505
LEACH,4,61,849
LEACH,4,62,693
LEACH,4,63,682
LEACH,4,64,413
LEACH,4,65,443
LEACH,4,66,402
LEACH,4,67,781
LEACH,4,68,504
LEACH,4,69,446
LEACH,4,70,695
LEACH,4,71,959
LEACH,4,72,699
LEACH,4,73,527
LEACH,4,74,704
LEACH,4,75,606
LEACH,4,76,541
LEACH,4,77,509
LEACH,4,78,406
LEACH,4,79,360
LEACH,4,80,596
LEACH,4,81,362
LEACH,4,82,354
LEACH,4,83,712
LEACH,4,84,547
LEACH,4,85,760
LEACH,4,86,657
LEACH,4,87,414
LEACH,4,88,551
LEACH,4,89,520
LEACH,4,90,491
LEACH,4,91,497
LEACH,4,92,833
LEACH,4,93,625
LEACH,4,94,531
LEACH,4,95,823
LEACH,4,96,632
LEACH,4,97,756
LEACH,4,98,583
LEACH,4,99,687
LEACH,5,0,890
LEACH,5,1,537
LEACH,5,2,624
LEACH,5,3,352
LEACH,5,4,413
LEACH,5,5,567
LEACH,5,6,664
LEACH,5,7,468
LEACH,5,8,409
LEACH,5,9,788
LEACH,5,10,382
LEACH,5,11,339
LEACH,5,12,511
LEACH,5,13,415
LEACH,5,14,762
LEACH,5,15,779
LEACH,5,16,670
LEACH,5,17,305
LEACH,5,18,435
LEACH,5,19,730
LEACH,5,20,643
LEACH,5,21,705
LEACH,5,22,346
LEACH,5,23,306
LEACH,5,24,505
LEACH,5,25,743
LEACH,5,26,714
LEACH,5,27,736
LEACH,5,28,508
LEACH,5,29,523
LEACH,5,30,356
LEACH,5,31,546
LEACH,5,32,325
LEACH,5,33,968
LEACH,5,34,389
LEACH,5,35,525
LEACH,5,36,850
LEACH,5,37,482
LEACH,5,38,731
LEACH,5,39,760
LEACH,5,40,765
LEACH,5,41,532
LEACH,5,42,391
LEACH,5,43,340
LEACH,5,44,477
LEACH,5,45,348
LEACH,5,46,397
LEACH,5,47,671
LEACH,5,48,788
LEACH,5,49,763
LEACH,5,50,297
LEACH,5,51,775
LEACH,5,52,512
LEACH,5,53,531
LEACH,5,54,621
LEACH,5,55,480
LEACH,5,56,806
LEACH,5,57,402
LEACH,5,58,569
LEACH,5,59,574
LEACH,5,60,462
LEACH,5,61,724
LEACH,5,62,604
LEACH,5,63,733
LEACH,5,64,718
LEACH,5,65,745
LEACH,5,66,344
LEACH,5,67,366
LEACH,5,68,552
LEACH,5,69,676
LEACH,5,70,683
LEACH,5,71,582
LEACH,5,72,771
LEACH,5,73,380
LEACH,5,74,672
LEACH,5,75,772
LEACH,5,76,537
LEACH,5,77,364
LEACH,5,78,840
LEACH,5,79,495
LEACH,5,80,783
LEACH,5,81,339
LEACH,5,82,308
LEACH,5,83,491
LEACH,5,84,683
LEACH,5,85,725
LEACH,5,86,633
LEACH,5,87,427
LEACH,5,88,381
LEACH,5,89,638
