Algorithm,Seed,NodeID,CHSelections
LEACH,2,52,29
LEACH,2,53,43
LEACH,2,54,25
LEACH,2,55,29
LEACH,2,56,31
LEACH,2,57,18
LEACH,2,58,39
LEACH,2,59,36
LEACH,2,60,35
LEACH,2,61,27
LEACH,2,62,38
LEACH,2,63,41
LEACH,2,64,24
LEACH,2,65,42
LEACH,2,66,40
LEACH,2,67,23
LEACH,2,68,29
LEACH,2,69,49
LEACH,2,70,45
LEACH,2,71,20
LEACH,2,72,25
LEACH,2,73,49
LEACH,2,74,35
LEACH,2,75,24
LEACH,2,76,37
LEACH,2,77,26
LEACH,2,78,32
LEACH,2,79,25
LEACH,2,80,20
LEACH,2,81,22
LEACH,2,82,21
LEACH,2,83,19
LEACH,2,84,18
LEACH,2,85,22
LEACH,2,86,26
LEACH,2,87,40
LEACH,2,88,39
LEACH,2,89,34
LEACH,2,90,32
LEACH,2,91,35
LEACH,2,92,50
LEACH,2,93,31
LEACH,2,94,36
LEACH,2,95,18
LEACH,2,96,22
LEACH,2,97,30
LEACH,2,98,25
LEACH,2,99,17
LEACH,3,0,43
LEACH,3,1,40
LEACH,3,2,24
LEACH,3,3,18
LEACH,3,4,25
LEACH,3,5,17
LEACH,3,6,33
LEACH,3,7,30
LEACH,3,8,46
LEACH,3,9,25
LEACH,3,10,32
LEACH,3,11,27
LEACH,3,12,40
LEACH,3,13,27
LEACH,3,14,27
LEACH,3,15,40
LEACH,3,16,30
LEACH,3,17,31
LEACH,3,18,29
LEACH,3,19,41
LEACH,3,20,42
LEACH,3,21,28
LEACH,3,22,22
LEACH,3,23,48
LEACH,3,24,27
LEACH,3,25,17
LEACH,3,26,16
LEACH,3,27,24
LEACH,3,28,38
LEACH,3,29,62
LEACH,3,30,33
LEACH,3,31,35
LEACH,3,32,26
LEACH,3,33,20
LEACH,3,34,58
LEACH,3,35,19
LEACH,3,36,40
LEACH,3,37,21
LEACH,3,38,40
LEACH,3,39,27
LEACH,3,40,43
LEACH,3,41,25
LEACH,3,42,29
LEACH,3,43,19
LEACH,3,44,42
LEACH,3,45,50
LEACH,3,46,20
LEACH,3,47,44
LEACH,3,48,59
LEACH,3,49,35
LEACH,3,50,33
LEACH,3,51,61
LEACH,3,52,28
LEACH,3,53,44
LEACH,3,54,33
LEACH,3,55,41
LEACH,3,56,49
LEACH,3,57,24
LEACH,3,58,19
LEACH,3,59,47
LEACH,3,60,41
LEACH,3,61,45
LEACH,3,62,17
LEACH,3,63,30
LEACH,3,64,34
LEACH,3,65,29
LEACH,3,66,28
LEACH,3,67,32
LEACH,3,68,27
LEACH,3,69,43
LEACH,3,70,23
LEACH,3,71,19
LEACH,3,72,33
LEACH,3,73,27
LEACH,3,74,34
LEACH,3,75,30
LEACH,3,76,35
LEACH,3,77,25
LEACH,3,78,29
LEACH,3,79,22
LEACH,3,80,39
LEACH,3,81,17
LEACH,3,82,20
LEACH,3,83,48
LEACH,3,84,41
LEACH,3,85,24
LEACH,3,86,42
LEACH,3,87,35
LEACH,3,88,20
LEACH,3,89,45
LEACH,3,90,61
LEACH,3,91,38
LEACH,3,92,33
LEACH,3,93,24
LEACH,3,94,44
LEACH,3,95,53
LEACH,3,96,34
LEACH,3,97,24
LEACH,3,98,19
LEACH,3,99,36
LEACH,4,0,33
LEACH,4,1,37
LEACH,4,2,15
LEACH,4,3,45
LEACH,4,4,40
LEACH,4,5,17
LEACH,4,6,38
LEACH,4,7,42
LEACH,4,8,18
LEACH,4,9,37
LEACH,4,10,54
LEACH,4,11,20
LEACH,4,12,30
LEACH,4,13,29
LEACH,4,14,20
LEACH,4,15,32
LEACH,4,16,34
LEACH,4,17,37
LEACH,4,18,21
LEACH,4,19,41
LEACH,4,20,28
LEACH,4,21,43
LEACH,4,22,18
LEACH,4,23,32
LEACH,4,24,35
LEACH,4,25,22
LEACH,4,26,36
LEACH,4,27,37
LEACH,4,28,50
LEACH,4,29,27
LEACH,4,30,22
LEACH,4,31,26
LEACH,4,32,30
LEACH,4,33,24
LEACH,4,34,51
LEACH,4,35,21
LEACH,4,36,48
LEACH,4,37,36
LEACH,4,38,37
LEACH,4,39,20
LEACH,4,40,40
LEACH,4,41,45
LEACH,4,42,32
LEACH,4,43,31
LEACH,4,44,27
LEACH,4,45,18
LEACH,4,46,25
LEACH,4,47,30
LEACH,4,48,29
LEACH,4,49,39
LEACH,4,50,21
LEACH,4,51,19
LEACH,4,52,44
LEACH,4,53,26
LEACH,4,54,25
LEACH,4,55,40
LEACH,4,56,18
LEACH,4,57,38
LEACH,4,58,18
LEACH,4,59,23
LEACH,4,60,25
LEACH,4,61,45
LEACH,4,62,38
LEACH,4,63,35
LEACH,4,64,21
LEACH,4,65,23
LEACH,4,66,20
LEACH,4,67,39
LEACH,4,68,26
LEACH,4,69,22
LEACH,4,70,34
LEACH,4,71,60
LEACH,4,72,37
LEACH,4,73,26
LEACH,4,74,35
LEACH,4,75,31
LEACH,4,76,27
LEACH,4,77,26
LEACH,4,78,21
LEACH,4,79,18
LEACH,4,80,30
LEACH,4,81,21
LEACH,4,82,18
LEACH,4,83,35
LEACH,4,84,28
LEACH,4,85,39
LEACH,4,86,33
LEACH,4,87,21
LEACH,4,88,28
LEACH,4,89,26
LEACH,4,90,25
LEACH,4,91,25
LEACH,4,92,45
LEACH,4,93,31
LEACH,4,94,26
LEACH,4,95,47
LEACH,4,96,32
LEACH,4,97,38
LEACH,4,98,31
LEACH,4,99,34
LEACH,5,0,55
LEACH,5,1,26
LEACH,5,2,33
LEACH,5,3,17
LEACH,5,4,20
LEACH,5,5,29
LEACH,5,6,34
LEACH,5,7,24
LEACH,5,8,21
LEACH,5,9,47
LEACH,5,10,20
LEACH,5,11,17
LEACH,5,12,25
LEACH,5,13,21
LEACH,5,14,40
LEACH,5,15,43
LEACH,5,16,37
LEACH,5,17,18
LEACH,5,18,21
LEACH,5,19,40
LEACH,5,20,35
LEACH,5,21,37
LEACH,5,22,17
LEACH,5,23,17
LEACH,5,24,26
LEACH,5,25,40
LEACH,5,26,36
LEACH,5,27,39
LEACH,5,28,26
LEACH,5,29,27
LEACH,5,30,18
LEACH,5,31,28
LEACH,5,32,16
LEACH,5,33,59
LEACH,5,34,19
LEACH,5,35,27
LEACH,5,36,46
LEACH,5,37,24
LEACH,5,38,37
LEACH,5,39,40
LEACH,5,40,41
LEACH,5,41,26
LEACH,5,42,20
LEACH,5,43,17
LEACH,5,44,24
LEACH,5,45,17
LEACH,5,46,22
LEACH,5,47,34
LEACH,5,48,47
LEACH,5,49,41
