Algorithm,Seed,NodeID,CHSelections
HEED,2,77,53
HEED,2,78,40
HEED,2,79,42
HEED,2,80,43
HEED,2,81,34
HEED,2,82,96
HEED,2,83,56
HEED,2,84,40
HEED,2,85,41
HEED,2,86,45
HEED,2,87,78
HEED,2,88,68
HEED,2,89,90
HEED,2,90,65
HEED,2,91,53
HEED,2,92,136
HEED,2,93,52
HEED,2,94,104
HEED,2,95,55
HEED,2,96,44
HEED,2,97,50
HEED,2,98,36
HEED,2,99,52
HEED,3,0,50
HEED,3,1,65
HEED,3,2,53
HEED,3,3,59
HEED,3,4,47
HEED,3,5,62
HEED,3,6,41
HEED,3,7,48
HEED,3,8,55
HEED,3,9,47
HEED,3,10,74
HEED,3,11,52
HEED,3,12,43
HEED,3,13,48
HEED,3,14,44
HEED,3,15,55
HEED,3,16,45
HEED,3,17,53
HEED,3,18,48
HEED,3,19,45
HEED,3,20,47
HEED,3,21,43
HEED,3,22,57
HEED,3,23,49
HEED,3,24,43
HEED,3,25,73
HEED,3,26,59
HEED,3,27,47
HEED,3,28,43
HEED,3,29,87
HEED,3,30,47
HEED,3,31,38
HEED,3,32,45
HEED,3,33,47
HEED,3,34,115
HEED,3,35,53
HEED,3,36,103
HEED,3,37,46
HEED,3,38,119
HEED,3,39,55
HEED,3,40,45
HEED,3,41,45
HEED,3,42,63
HEED,3,43,73
HEED,3,44,59
HEED,3,45,40
HEED,3,46,50
HEED,3,47,47
HEED,3,48,61
HEED,3,49,46
HEED,3,50,41
HEED,3,51,92
HEED,3,52,83
HEED,3,53,63
HEED,3,54,39
HEED,3,55,87
HEED,3,56,69
HEED,3,57,40
HEED,3,58,51
HEED,3,59,49
HEED,3,60,99
HEED,3,61,70
HEED,3,62,73
HEED,3,63,45
HEED,3,64,78
HEED,3,65,71
HEED,3,66,55
HEED,3,67,67
HEED,3,68,53
HEED,3,69,40
HEED,3,70,50
HEED,3,71,60
HEED,3,72,42
HEED,3,73,80
HEED,3,74,52
HEED,3,75,43
HEED,3,76,53
HEED,3,77,50
HEED,3,78,46
HEED,3,79,48
HEED,3,80,49
HEED,3,81,73
HEED,3,82,71
HEED,3,83,185
HEED,3,84,40
HEED,3,85,64
HEED,3,86,107
HEED,3,87,49
HEED,3,88,68
HEED,3,89,115
HEED,3,90,73
HEED,3,91,72
HEED,3,92,45
HEED,3,93,45
HEED,3,94,48
HEED,3,95,85
HEED,3,96,45
HEED,3,97,56
HEED,3,98,68
HEED,3,99,41
HEED,4,0,90
HEED,4,1,42
HEED,4,2,84
HEED,4,3,37
HEED,4,4,114
HEED,4,5,72
HEED,4,6,243
HEED,4,7,96
HEED,4,8,70
HEED,4,9,77
HEED,4,10,63
HEED,4,11,72
HEED,4,12,42
HEED,4,13,41
HEED,4,14,43
