Round,Mean,Std
1,49.92778293350652,0.01415424600939034
2,49.859193120047124,0.014155219257490055
3,49.7899199938342,0.014013816214651486
4,49.72033589586222,0.013841630662938288
5,49.64962315405861,0.013507326821393582
6,49.57997628569252,0.013173111709575414
7,49.51123603953652,0.012989647447290326
8,49.438067099473635,0.020069298754132315
9,49.36813618274223,0.019836476079539915
10,49.29857087954802,0.02041480403500772
11,49.23036977146551,0.02022041432616792
12,49.16074558270431,0.020092934973126485
13,49.09114438479832,0.020735496942497142
14,49.021534095520444,0.021131427131567137
15,48.95103996512883,0.021625362891358847
16,48.8808138947378,0.023358981843255435
17,48.81111931112973,0.025002289215881043
18,48.74231995593761,0.025346168884279714
19,48.67242223153906,0.025342923300107293
20,48.6019874847421,0.02589754835976977
21,48.50002576569124,0.04608767363253024
22,48.40344005882027,0.05676370779177647
23,48.310221615589725,0.07536502302511511
24,48.21876320199982,0.08104376116874311
25,48.12056821902803,0.09557813364196864
26,48.04374770295122,0.09910857703309309
27,47.96777866390691,0.09716764274947991
28,47.89350959293459,0.10369358483036496
29,47.81734537312208,0.1101393925814291
30,47.744286000047865,0.11368119983994773
31,47.674797066968516,0.11426894269775946
32,47.6047856731952,0.11563057832845346
33,47.53575129340153,0.11482098773438436
34,47.46697732791485,0.11435487646733011
35,47.39667323405981,0.11428907202528076
36,47.3262568738548,0.11615213852805373
37,47.255804171671265,0.11779688239749533
38,47.18359342285514,0.12048642938543133
39,47.106294028074736,0.1208340821700647
40,46.98841750407489,0.1205528404686057
41,46.86457643357917,0.12769405464830877
42,46.75810234556515,0.14004016320085474
43,46.65018712614356,0.15665972333623496
44,46.53870883231197,0.16354189668229718
45,46.42633386660607,0.17596982350927642
46,46.31432679978063,0.18255386175330146
47,46.20694743307466,0.18374067730848584
48,46.11819922357961,0.19473720269737255
49,46.02872482464576,0.20649882417175175
50,45.94329385580443,0.21023807913697667
51,45.8620507118752,0.22121773598326777
52,45.787670478913256,0.22790840693068162
53,45.71752482100046,0.22671115391773955
54,45.64742531617321,0.22647702651098436
55,45.575362052846714,0.230313355339878
56,45.50600505259644,0.2305132560272865
57,45.434386057723806,0.2320079882301202
58,45.35882480317613,0.23485169170159192
59,45.26966620553732,0.238468069471568
60,45.18392500646844,0.24626916662491816
61,45.089722683879295,0.25103203251611783
62,44.982215692170385,0.2583197689536815
63,44.86780357416539,0.2715715144095842
64,44.741477611501,0.27802515900945945
65,44.614456359285775,0.2799291349259873
66,44.4868666706133,0.289820576872248
67,44.36410197710373,0.29935505098362286
68,44.248596935339165,0.3090465843461311
69,44.126937643850425,0.3185679033109797
70,44.018740137949656,0.33552836827219723
71,43.92515044267898,0.33085664600912573
72,43.820242150763576,0.3245799408909549
73,43.7318800135133,0.33620340798665144
74,43.651372680845434,0.34078652537451326
75,43.57481748823325,0.3437118993631737
76,43.505150594114085,0.34499475673087027
77,43.43514207361316,0.34509760826384445
78,43.360968660598104,0.34667719876002345
79,43.262721151670284,0.3533355838774583
80,43.1549477690463,0.357750120215644
81,43.05559290756791,0.3625540870771922
82,42.96270726541204,0.3622030817825902
83,42.874608586963724,0.3535629389309422
84,42.777811560827764,0.3624483116140494
85,42.68013296658806,0.3532746212386604
86,42.5759201349892,0.35948825604191414
87,42.46745057698484,0.37024137871933066
88,42.363723980733496,0.36083575127846523
89,42.25788567641611,0.3674561650486809
90,42.16483423697005,0.36405447653435724
91,42.05595689627995,0.3709330405899004
92,41.95261987857949,0.3716948708592589
93,41.85420200720502,0.38221813842554464
94,41.7594462525689,0.38137996648306544
95,41.67597443446468,0.3947814027309413
96,41.60461120852419,0.3945615676835013
97,41.534962414749046,0.39596249580351
98,41.463535680192166,0.39682111999859887
99,41.35975247467497,0.4052611227284348
100,41.268115974776336,0.4034846286555211
101,41.15347226926324,0.39718315448390207
102,41.039333058320025,0.40493624668911515
103,40.9198833084673,0.41171069744417316
104,40.79991365514767,0.42369686146457586
105,40.68929305189399,0.43843337955163036
106,40.58546641450679,0.4370327423286378
107,40.4780618757791,0.44462942033915637
108,40.375292689320915,0.45531338531900745
109,40.2706744185704,0.47315242822532827
110,40.1707940735444,0.4705764404642212
111,40.07048650300668,0.4756835023499904
112,39.96465532323,0.490153363526565
113,39.865510958025695,0.5055999372967055
114,39.79023478582068,0.5078546081579988
115,39.70900132499281,0.5108650121308856
116,39.63482598905256,0.5137580369695596
117,39.565234236187834,0.5139037760482523
118,39.494691873482275,0.5120325811997534
119,39.38687359835705,0.5241852896096936
120,39.288268215928234,0.5378953633379184
