Algorithm,Mean FND,Std FND,95CI FND Low,95CI FND High,Mean HND,Std HND,95CI HND Low,95CI HND High,Mean LND,Std LND,95CI LND Low,95CI LND High,Mean GDW,Std GDW,95CI GDW Low,95CI GDW High,Mean TotalPacketsToBS,Std TotalPacketsToBS,95CI Packets Low,95CI Packets High
LEACH,290.95,30.17924522093392,277.7233626105658,304.1766373894342,584.2,42.36259521894534,565.6337740478776,602.7662259521225,922.35,28.59568425295567,909.8173888048651,934.8826111951349,631.4,47.87307780942613,610.4186985702934,652.3813014297066,24719.95,1635.725317147685,24003.061771674715,25436.838228325287
DEEC,551.8,24.854524103692928,540.9070245329241,562.6929754670758,682.65,15.145869681898516,676.0120299393327,689.2879700606672,771.15,9.54366695496906,766.9673035390779,775.3326964609221,219.35,25.703317418492688,208.0850244609792,230.61497553902078,7567.05,489.4761404861969,7352.527622995691,7781.57237700431
HEED,462.75,61.12271952478279,435.9617870578947,489.5382129421053,748.9,9.781292563384776,744.6131595244099,753.1868404755901,824.45,11.700089968165111,819.3222094837107,829.5777905162894,361.7,64.52669786097925,333.41992777497495,389.980072225025,6396.6,172.08945042438953,6321.178472965536,6472.021527034465
Proposed,625.5,29.946443422954427,612.3753924970968,638.6246075029032,710.15,8.362038280857504,706.4851751388152,713.8148248611848,727.95,12.987747262222515,722.2578687924284,733.6421312075717,102.45,30.210620300605687,89.20961187562047,115.69038812437954,3525.5,42.12325273590148,3507.0386705160277,3543.9613294839723
